document_id,page_number,source_file_name,ocr_status,page_type,people_mentioned,evidence_items_mentioned,locations_mentioned,dates_mentioned,times_mentioned,key_factual_content,related_claims,related_events,transcription_status,notes
DOC-0001,75,inquest1949ocr.pdf,Extractable OCR text,Exhibit reference,Unknown deceased man; Douglas George Townsend,EV-0008 Henley Beach railway ticket,Somerton Beach; Coroner Court Adelaide; Henley Beach,30th November 1948; 3282,2 o'clock,"of..   ············   . (Continued)- 31 G Photographs of the cas5 of the deceased marxed Rxhi.bi ts \.,;.10 t014. (~/2.C./Jfl-U#.~~r~) CORONEE C.ALLS: DOUGLAS GEORCJE TOWNSEND of 464 Cross Roads, .;.;tudent. ~dwardstown> SWufm BY CORONER On 30th November 1948 1 was teIIlporarily employed by the b.p_ • .h. as a ticket clerk. un that particular day I was engaged in selling tickets on the Port Line and North Line.. LooK",None mapped,CHR-0002; CHR-0003,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,76,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,77,inquest1949ocr.pdf,Extractable OCR text,Exhibit reference,Unknown deceased man,EV-0007 Death mask/bust,Coroner Court Adelaide,3282,None observed in OCR,"of...   . (Continued)- 32 WITNESS RAYMOND LIONEL LEP.1~ E RECALLED. \""'lothing found on the body of the deceased pu t in marxed Exhi bi t C~ -15 Qui tease found at the station put in marked Exhibi t li.16. ]Bust made from the body of the deceased _~] ut in marl""l.:ed 'E xhibi t C.17. (\,.,oroner orders that these ey..b.ibi ts be kept in the custody of the Police) .. .ht this stage adjourned to ZKaJl2~ Tuesday 21 st J",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,78,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,79,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Thomas Erskine Cleland / Professor Cleland; Unknown deceased man; John Burton Cleland,EV-0003 Brown suitcase and contents; EV-0005 Clothing,Coroner Court Adelaide,1st June 1949,None observed in OCR,"of..   ·.··.··· .. ·····   (Continued)- -33.ti.e suming on 2 1st June 1949 at 10 .30 a.m. CUHONEB. CALLS: JOHN BURTON CLELAND liasLwood .do ad, .beaumont. Legally Qu alified Medical .i:'rEtctnr. professor in ErneI'iID;S of j:Ja t J:.ology at .hdel uni v. SWOliN BY CORO NER: I made an eXanl rl of the clothing whi ch was on the body of the decd ., and also the contents of the suitcase found at the ' Adelaide .hai lw a ",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,80,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,81,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man; John Matthew Dwyer,EV-0001 Tamam Shud slip; EV-0005 Clothing,Somerton Beach; City Mortuary; Glenelg,None observed in OCR,noon,"of   .. 34 (Continued)- and anoteer stuck in a sock worn by the deed., but I do not pay much attelltion to ths.t, as barley grass is widely distrituted at that time of the year, in fi ll the States. seeds as one walks through it. I t is 8. grass which throws up its 1 agree wi th Dr. Dwyer\fs estimate that the m(3,n was somewhere between 40 and 45; I would say he was betn 40 and 500 saw the body af ter it was embalmed",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,82,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,83,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man; Robert James Cowan,EV-0001 Tamam Shud slip; EV-0017 Biological specimens/toxicology samples,Somerton Beach,None observed in OCR,None observed in OCR,"(Oontinued)- of   . 35 I have read the 8.cco J nt of the post-mortem, and there is nothing to i ndic;ate death from natural causes. ne was a comparati'ilely yo ung H12,IJ .. the vessels of the heart and of the brain are descri bed 8.S fEee from s.theroma, so that if his death Wei. S to b e attribu ted to natural causes, one would have to thini;:: of some vagal inhi bi tiOD, whi ch wou l d mean 2. sudden and unexpecte",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,84,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,85,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man,EV-0005 Clothing; EV-0017 Biological specimens/toxicology samples,None observed in OCR,None observed in OCR,None observed in OCR,"(Continued)- of.   ·······  ···.. ·.. ··   . 36 barbi turates and alkaloids may Dot be detecti ble on analysis.. other handx, · such negative fil'~di1Jgs On the must be rare, aDd if they had Deen t aK en, it w(;ulC:. be a very remarKable c -.incidence tb a t cormnon p oi~oI}s of that nature shoulo. have given th ,::. t cLifficulty i n detection, and at the same time the person concern ed seemed to have ta':;'~en undu",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,86,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,87,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,None observed in OCR,EV-0003 Brown suitcase and contents; EV-0017 Biological specimens/toxicology samples,None observed in OCR,None observed in OCR,None observed in OCR,"of...   . (Oontinued)- -37b. drug vv'hich had been p re scrioed illedicinally, as I have 11lent-:l.o.Ded, WOllld be difficul t for the ordinary person to obtain. Of course, the iliaD may have been a cheini s t or ph8.rIuaci s t.. '..Lh9l""e was no si gn of vomiting; and an y trace of those subste-,nces would b '8 d.ifficult to detect .. they would require a migh t be tC..J:(en by ~~ou th. hy~ode:i.r>mic injecti ,)TI, ",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,88,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,89,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,None observed in OCR,EV-0017 Biological specimens/toxicology samples,None observed in OCR,None observed in OCR,None observed in OCR,"of.   ~   (Continued)- 38 BY. CGRONE.fI. I examined a microscopic section of the liver, but it did not seelli to me to offer any explanation as to the cause of death. to be ta..'( en by injecti.on. .h l.l1sulin has lot of people tal\:e insulin noyv adays, ana if they got rL) ld ot the ideo. that it could be used for suicidal purposes} they might do SO~ T on r1 _ .. _ . . _ ..",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,90,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,91,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,John Matthew Dwyer,None observed in OCR,Coroner Court Adelaide,None observed in OCR,None observed in OCR,"DEPOSITION on OArrH of.   . (Continued)- 39. CORON Eit C.A-L~LS: CEDRI C STANTON HI(::;KS ofUV~oodley;I Whi tington ~venue, ulen Osmond .. Uni 'iJersi ty ~rofessor of Physiology and Pharlil8.Cology .. SWORN BY CORONER:. I have befome a vvare of various facts in connection wi th the dea th of thi S !/IX unh-:nOv1l11 man. ~oroner reads portion of Dr. Dwyer's eVidence. At this stage evidence of Dr. ,uenl1ett interl)Osed",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,92,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
